Time,EAR,MAR,Blinks,Yawns,Drowsy
1774793032.63,0.279,0.023,63,0,0
1774793032.7,0.271,0.033,63,0,0
1774793032.71,0.234,0.035,63,0,0
1774793032.77,0.289,0.482,63,0,0
1774793032.78,0.287,0.0,63,0,0
1774793032.83,0.318,0.088,63,0,0
1774793032.84,0.282,0.032,63,0,0
1774793032.89,0.226,0.0,63,0,0
1774793032.91,0.208,0.0,63,0,0
1774793032.96,0.258,0.0,63,0,0
1774793032.97,0.227,0.02,63,0,0
1774793033.04,0.272,0.0,63,0,0
1774793033.1,0.294,0.02,63,0,0
1774793033.18,0.185,0.02,63,0,0
1774793033.19,0.392,0.0,63,0,0
1774793033.22,0.194,0.0,63,0,0
1774793033.24,0.286,0.011,63,0,0
1774793033.3,0.316,0.017,63,0,0
1774793033.31,0.25,0.016,63,0,0
1774793033.36,0.262,0.01,63,0,0
1774793033.37,0.22,0.0,63,0,0
1774793033.57,0.233,0.022,63,0,0
1774793033.59,0.212,0.0,63,0,0
1774793033.63,0.233,0.0,63,0,0
1774793033.64,0.234,0.019,63,0,0
1774793033.69,0.223,0.015,63,0,0
1774793033.7,0.246,0.019,63,0,0
1774793033.75,0.193,0.017,63,0,0
